Job Title,Company Name,URL,Base Salary,Company Location,company size,Educational Level,Experience Requirements,Job Skills,Organization Type,Work Environment,Work Type
Data and Evaluation Analyst,BC Lung Foundation,https://www.linkedin.com/jobs/search/?currentJobId=4020682348&geoId=101174742&keywords=Data%20analyst&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true#HYM,"Salary range: CAD 70,000 – CAD 75,000","Vancouver, BC",11-50 employees,Undergraduate degree,3,Analytical Skills · Problem Solving · R (Programming Language) · Visualization · Program Evaluation · Excel,Hospitals and Health Care 11-50 employees 26 on LinkedIn,Hybrid,Full-time
"Analyst I, Growth Analytics",Affirm,https://www.linkedin.com/jobs/search/?currentJobId=4009423606&geoId=101174742&keywords=Data%20analyst&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true,"$90,000 - $130,000","Victoria, BC","1,001-5,000 employees",None,1-3 years,Analytical Skills · Dashboards · SQL · Analytics · R (Programming Language) · Problem Solving · Interpersonal Skills · A/B Testing · Excel,"Financial Services 1,001-5,000 employees 2,437 on LinkedIn",Remote,Full-time
Data Analyst / Engineer,Data SEA Consulting,https://www.linkedin.com/jobs/search/?currentJobId=4015094933&geoId=101174742&keywords=Data%20analyst&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true,,"Toronto, ON",11-50 employees,None,3,Analytical Skills · Problem Solving · Python (Programming Language) · SQL · Visualization,"Technology, Information and Internet 11-50 employees 13 on LinkedIn",On-site,Full-time
Data Analyst ,Data Sciences,https://www.linkedin.com/jobs/search/?currentJobId=4001485574&geoId=101174742&keywords=Data%20analyst&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true,70-90,"Montreal, QC",11-50 employees,None,2,Problem Solving · Python (Programming Language) · SQL · Ad Hoc Analysis · Amazon Redshift · Amazon Web Services (AWS),Advertising Services 11-50 employees 64 on LinkedIn,Hybrid,Full-time
Business Data Analyst,Iris Software Inc.,https://www.linkedin.com/jobs/search/?currentJobId=4008114995&geoId=101174742&keywords=Data%20analyst&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true#HYM,,"Toronto, ON","1,001-5,000 employees",None,6,Excel · Python (Programming Language) · SQL · Data Flow,"IT Services and IT Consulting 1,001-5,000 employees 3,326 on LinkedIn",Hybrid,Contract
Data Analyst,Paladin Security Group Ltd,https://www.linkedin.com/jobs/search/?currentJobId=4017729181&geoId=101174742&keywords=Data%20analyst&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true,"CA$65,000/yr - CA$75,000/yr","Burnaby, BC","10,001+ employees",None,None,"Microsoft Azure · Data Models · Data Warehousing · Extract, Transform, Load (ETL) · Python (Programming Language) · SQL · Visualization","Security and Investigations 10,001+ employees 4,711 on LinkedIn",Hybrid,Full-time
Data Analyst,Insight Global,https://www.linkedin.com/jobs/search/?currentJobId=4022950853&geoId=101174742&keywords=Data%20analyst&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true#HYM,55-75,"Toronto, ON","1,001-5,000 employees",None,2,Analytical Skills · Problem Solving · Python (Programming Language) · SQL · Visualization,"Staffing and Recruiting 1,001-5,000 employees 13,251 on LinkedIn",Hybrid,Contract
Data Analyst,Astek,https://www.linkedin.com/jobs/search/?currentJobId=4010646081&geoId=101174742&keywords=Data%20analyst&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true,,"Toronto, ON","5,001-10,000 employees",None,2,Analytical Skills · Microsoft Power BI · Data Engineering · Problem Solving · Python (Programming Language) · SQL · Visualization,"IT Services and IT Consulting 5,001-10,000 employees 4,640 on LinkedIn",Hybrid,Contract
Business Intelligence Analyst,Clio - Cloud-Based Legal Technology,https://www.linkedin.com/jobs/search/?currentJobId=3882715348&geoId=101174742&keywords=Data%20analyst&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true&start=25,,"Vancouver, BC","1,001-5,000 employees",None,3,Communication · Analytics · Data Warehousing · Databases · Business Intelligence Tools · Data Modeling · Database · SQL,"Software Development 1,001-5,000 employees 1,277 on LinkedIn",On-site,Full-time
Intern Data Analytics,Compeer Financial,https://www.linkedin.com/jobs/search/?currentJobId=4024767480&geoId=101174742&keywords=Data%20analyst&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true&start=25,,"Compeer, AB","1,001-5,000 employees",Post-secondary degree,None,Data Management · Data Modeling · Data Engineering · Analytical Skills · Communication · SAS (Software) · Data Analytics · Statistical Analysis · Database · SQL,"Financial Services 1,001-5,000 employees 1,033 on LinkedIn",On-site,Internship
